bid,lon,lat,categories
VkECNTcZZ1mdN-VJltJcWA,-115.1389824,36.1001658,Thai Restaurants
WLblFINiPI18_o1OdDsnVg,-115.1367126,36.1043905,Mexican Restaurants
vpoXE7CsEMZNzBMDvkuqHg,-115.3075716,36.1136929,Thai Restaurants
c_iQzwsTDYraPvHSKz88QA,-115.1725530624,36.1118765818,American Restaurants
aNe8ofTYrealxqv7VtFTuw,-115.2249525,36.0702792,American Restaurants
LPnGdeEJyMMO02e02PqZBA,-115.172945,36.118399,American Restaurants
WRQ-9LluyivReFiQZFUujw,-115.2982993,36.1470835,Korean Restaurants
f_eiOrEcMnkHB7GvQVOHkQ,-115.164514,36.126212,American Restaurants
VONg0lyHm7fUdARWjkkjCQ,-115.1203282,36.1013621,Mexican Restaurants
UED302E-B2OyVr0mssARnA,-115.2429848747,36.0627325626,Chinese Restaurants
c5TOGBUCCUUNBPM7h_KbmQ,-115.2440144867,36.0460189434,Breakfast & Brunch
Yiw2jUJzUdFmglHZgj4RaQ,-115.299834609,36.1472362714,Japanese Restaurants
atVh8viqTj-sqDJ35tAYVg,-115.2243463,36.0484864,Breakfast & Brunch
gc_GGat7TgNCmrgc4nVOgw,-115.1701993796,36.1028961488,American Restaurants
EwxhzR-VghhMsRObXLMitw,-115.2059208,36.167739,Breakfast & Brunch
xDvl_i1g1HCJ4EmIRmwfqg,-115.1414301,36.1699356,Breakfast & Brunch
zL6GK1pPgXgKjuRqA6v8VQ,-115.2579239,36.1973944,Coffee & Tea
5qG4UHurI1yEozwn25WAFw,-115.190605,36.119787,American Restaurants
eFcpMAgG5OLzgElmnO2DUQ,-115.2097115,36.1148685,Coffee & Tea
GjbF1ZEbIpC2KqUbZ7KQWQ,-115.2074951,35.9999263,American Restaurants
rdE9gg0WB7Z8kRytIMSapg,-115.1738562678,36.0701464765,Breakfast & Brunch
VahVKCDFougCFlWH87OYZQ,-115.2441452,36.050869,American Restaurants
oGYXSVs0ympLy0ur8Qnp7g,-115.2055201,36.1697408,Mexican Restaurants
qsJkjQoM3Hdg6Gtqp2S9_w,-115.2999764308,36.1471526137,Thai Restaurants
XXW_OFaYQkkGOGniujZFHg,-115.1630947555,36.1336673317,Breakfast & Brunch
VUtazCTIc0aoOrQprP_s-Q,-115.1703831351,36.1189978367,American Restaurants
WgvJcTe_RdlIfnvxEzn2Mg,-115.243497734,36.0717181212,Mexican Restaurants
eS76100l3h7Ollb5s3_M4A,-115.1189137,36.0280976,Coffee & Tea
Voy_shxcm2YnHQOtfUj1KQ,-115.1959803,36.1253808,Chinese Restaurants
0G1y7uV7w1D2uziS4Lt_Dw,-115.1039133,36.0996135,Mexican Restaurants
ZPwx7ktiVluGFVg0L05n5A,-115.214259,36.126315,American Restaurants
a0v7Si0DK4cIko7AQY4YXg,-115.2418562125,36.0621940089,Breakfast & Brunch
uuGL8diLlHfeUeFuod3F-w,-115.173847,36.102928,American Restaurants
gOOfBSBZlffCkQ7dr7cpdw,-115.1701939,36.1226902,Mexican Restaurants
SUd3IyEN7n5OYEGyt_U5lg,-115.2519058809,36.2649537244,Breakfast & Brunch
eJPckkV1k7gn0V2awA1pzA,-115.2236785889,36.0627365112,Mexican Restaurants
AUl6myFhTAbEqt0GMdKHiw,-115.2520419,36.0636775,Mexican Restaurants
6QUuDlLjNDQWFCbJ9--jsQ,-115.154976,36.109157,Chinese Restaurants
mnqJVQhLcPHtpVx_6kbJuw,-115.21314,36.158225,Coffee & Tea
2s2ww6WaulfOEI16s1uyDg,-115.2810790347,36.1145216983,Coffee & Tea
gdb4gmSI5eJcuXLZ3BfgtA,-115.277674,36.0216106,Chinese Restaurants
H9tOBBx3c5ILzEOCITJfSA,-115.258945,36.1956881295,Coffee & Tea
zuwba6QEBIDZT0tJZmNhdQ,-115.2944197,36.1160271,Japanese Restaurants
lVfZ2AaYRYHCFenUMQna8g,-115.1189235,36.0280976,Mexican Restaurants
2vr2yGIzSehe_ITFamNpyw,-115.2426542714,36.1462034039,Breakfast & Brunch
ujKxpaUmTUVpGRBFSvZfbg,-115.1745719,36.1162194,American Restaurants
mswelTP1cQiuAps2fSGuBw,-115.1192262,36.081352,Breakfast & Brunch
L7SKlQ4hH12eIqmabXzE0Q,-115.172779,36.129522,American Restaurants
uKWh_n81PJY7XTjPQib_yw,-115.1185146,36.0153561,Breakfast & Brunch
8KEB1lcjKlIVSd6uA8JB9w,-115.27869,36.060258,Mexican Restaurants
ewWGrjlWHkXXBsLinpauKQ,-115.167872,36.1240615,Coffee & Tea
FvVSy2r7_zDEhZWqLgjXNQ,-115.2602821,36.1761018,Coffee & Tea
zPBccKsIHYtLUGFNYIi8Uw,-115.132619,36.115613,Chinese Restaurants
YBE7FO11s32f6BEpTAJ5Rw,-115.2897075,36.1643423,Breakfast & Brunch
OVTZNSkSfbl3gVB9XQIJfw,-115.174105,36.121237,American Restaurants
Os1n1_idfw9vv9kwULGJnQ,-115.1933891745,36.1440350372,Japanese Restaurants
P2dFr-Jg1OUoNMikaCmLEQ,-115.1708909,36.1100629,American Restaurants
WMj5Uj04pAqFxLMnJQcQqw,-115.168596,36.121177,Chinese Restaurants
2PS9kBbuJcmBhcNp-D62uA,-115.2254093438,36.1433289011,Japanese Restaurants
78hGCrQ6wLA2yh8zMywnmw,-115.2897787476,36.1606833526,Mexican Restaurants
IMLrj2klosTFvPRLv56cng,-115.292996,36.160577,American Restaurants
77h11eWv6HKJAgojLx8G4w,-115.1742914289,36.1099991328,Breakfast & Brunch
UkFMV7WGFfE_u8zyUkkuqg,-115.1070562,36.1591474,Ice Cream & Frozen Yogurt
cMAv53bpH7b32IYgQwCXLA,-115.209541,36.116001,Coffee & Tea
UeEzvTGkSyaHRvWTlZ1ISA,-115.2795449,36.0532899,Thai Restaurants
pH0BLkL4cbxKzu471VZnuA,-115.1675528772,36.1245818974,Breakfast & Brunch
5WOE18ldtQ1U0MK5fN2HGQ,-115.281123,36.299397,Mexican Restaurants
CLthP1yn32xlBswIbsLIjQ,-115.2055433,36.1150073,Mexican Restaurants
vzrcPqSdRY41GoO5DR5pYA,-115.175625,36.144997,American Restaurants
O7UMzd3i-Zk8dMeyY9ZwoA,-115.15261,36.151555,Ice Cream & Frozen Yogurt
7EZ4Eu7YJ1ltRCC5jXFJrQ,-115.171991,36.124829,Breakfast & Brunch
RBAcL6hg2yoaTRv0kKUjPA,-115.117786,36.018156,Breakfast & Brunch
ypfFfR3-PbtoslIhohNstw,-115.2410376816,36.1267945039,Korean Restaurants
PBZyumZ_0vSijc2zODdqgQ,-115.2806748,36.1154018,Korean Restaurants
9F7NTHmXRSY89IjeQ4-8Zg,-115.24262,36.179406,Coffee & Tea
6xgcHeLad-VaoTIQewK84A,-115.1941,36.11475,American Restaurants
SVGApDPNdpFlEjwRQThCxA,-115.302689,36.100509,Mexican Restaurants
k1PkpDm5d5pYJI1K_3UYpw,-115.168455,36.103191,American Restaurants
Kx0MUrNQ737s-VVElk6Vig,-115.162372,36.146908,Mexican Restaurants
r8Jr-7YfkhJL2nxk9lxUNg,-115.307372,36.113498,Mexican Restaurants
M51gw2cz_vXarNBLbKkOxQ,-115.2435014237,36.0720455659,Breakfast & Brunch
dm6sO_Y8JdKTE1ZM955yug,-115.2241710499,36.1273748593,Thai Restaurants
zYKblyjRDoiOum6NYuvZ6g,-115.14933,36.057349,Coffee & Tea
z2CVPfaG8C_rydUZCcsqbw,-115.2216139,36.1260798,Japanese Restaurants
07gh-AImcEcWQ2bew-jprg,-115.2054322,36.1261038,Korean Restaurants
E_7RIDFNQfxREnI_E5h0uA,-115.2245620265,36.1280814926,Coffee & Tea
PLVJCN2p1MIkeDzIbAx9kA,-115.266170865,36.1443071533,Breakfast & Brunch
lv5Bnqlt93NnvNJ2oNcQ8Q,-115.2519912,36.0618411,Mexican Restaurants
UGy0QULAPPRcOUJQSiRmGQ,-115.2624712,36.2191781,Breakfast & Brunch
y-ytZFbfRWvYma9P4g7AYA,-115.225189209,36.1266479492,Coffee & Tea
H8qlBw1YaxMsItfz25-AyA,-115.351342,36.159014,American Restaurants
eoyvbnRYQe-z85e8Rc6vAg,-115.1448997,36.1703149,American Restaurants
2HxaDXZmAOH6LiuzGgNdPA,-115.2424786,36.0615179,Breakfast & Brunch
g8oxQ1Ji9mr9PMjhEfaWSg,-115.1754684871,36.0994443035,American Restaurants
sOYsxYYFl03PhHmz_rBDZQ,-115.242948945,36.0373841989,American Restaurants
o1Pjim5n8xJjjAE_v4RiHA,-115.3340292,36.1461376,Mexican Restaurants
FUhJLCocwgZEiVn1Wg1KSg,-115.1540375,36.1077604,American Restaurants
4jUj7xHIhdHpTrb0ZXSToA,-115.1364724,36.1067927,Coffee & Tea
biSsdqExmdvIKiFuowOadg,-115.1191953949,36.026510271,American Restaurants
XsSgv3vBOyOBXn3Co8EVIg,-115.2240685,36.1273969,American Restaurants
XwJ6fZRVbxQYRsryy4-qDw,-115.2075817,36.1259785,American Restaurants
L-zHt7gZITG1z8l7TZ4dUg,-115.165731,36.126506,Ice Cream & Frozen Yogurt
UaoOIiwPF_rp2BWYD-HkPQ,-115.2987347,36.0699399,Coffee & Tea
z9aXGRH8xtqpNDFE5_I3KA,-115.2794948,36.1032073,American Restaurants
n0bg7kf6HcpFchCtxJyc5A,-115.1769327621,36.1158925553,Chinese Restaurants
EneqsOFGCK4KXofNHsc5aQ,-115.1701669,36.1174214,American Restaurants
jlpseJr1CS8aCMieENkQ8g,-115.1368196,36.1056431,Breakfast & Brunch
A4zLP5AyKEEHQr_dWEZKig,-115.156616047,36.1422486001,American Restaurants
DW0ZvWuYaSvMcB_3LG5RGg,-115.331443,36.161278,Chinese Restaurants
AUZQbqGldMpNURXCh-UuUQ,-115.1755599976,36.1137695312,Coffee & Tea
n8Zqqhff-2cxzWt_nwhU2Q,-115.332772,36.151269,American Restaurants
BhueLLvA0k9G1Lr0WeZX9w,-115.2416230813,36.0603197442,American Restaurants
gjCmXkMNVE0JSk8puUwv6g,-115.262227,36.1433174,Breakfast & Brunch
HhVmDybpU7L50Kb5A0jXTg,-115.1724323608,36.1180802326,Breakfast & Brunch
6TvB1PZCY1Ap2S-yNJPs4w,-115.167671,36.100561,American Restaurants
hh-N1r9O1JpvzGw1mp0bKw,-115.1512011,36.1584369,American Restaurants
2hSIeCX2cV-chFcBBXrZZA,-115.2980657,36.075943,Coffee & Tea
JxKWfZ6hG8iRnK8QL65jTw,-115.173808,36.102451,Coffee & Tea
znWHLW1pt19HzW1VY6KfCA,-115.188138,36.117556,Breakfast & Brunch
ZhLSAiRj9kANxf8m2SBfRA,-115.1535985619,36.0119846411,Thai Restaurants
fE7x3Ui2mzdwdfJnd7r_1g,-115.175059,36.116156,Coffee & Tea
jWHr_b19C1SjRvfI9jbdmQ,-115.1179817,36.0997437,Mexican Restaurants
UGiMMw54qYxac0eE_cBbaA,-115.148259147,36.0826883675,Mexican Restaurants
isw3cS3hOKdKeBgi3lF3-A,-115.1395913,36.1689261,Breakfast & Brunch
ZxR9HNk0b7ZIq8kMiDEIDw,-115.1526346,36.1084453,American Restaurants
296PZdxSrtH08EUwCsOKMw,-115.174141,36.011478,American Restaurants
2mdF-c66TY3eSyTVI4GhQg,-115.1726626977,36.111924253,Ice Cream & Frozen Yogurt
aYTiyhUbc6uL7jSAXGKhrA,-115.3328211188,36.1494807796,Ice Cream & Frozen Yogurt
EMrghF81px-wnNqEYqA0Kw,-115.2891616524,36.1632788522,Breakfast & Brunch
jdAdf7keZac1idbgNKG2pw,-115.2769519,36.2190603,American Restaurants
vx4YAA02Qz6khRD1fZ1MFA,-115.193512,36.116901,Chinese Restaurants
WP0M2cpWzhsMwk7kPtreRA,-115.2434921265,36.1248420622,Mexican Restaurants
E96XW5-Me9nnBIkpg0nNBA,-115.1753911,36.1099462,American Restaurants
X11JfeIVH9d6qMrDqA-N7A,-115.2422872,36.0759368,American Restaurants
HykZIiaHS35N2c5_QHoClA,-115.2367199,36.1586808,Korean Restaurants
tpCALADHTuBaCJNgAluj2w,-115.1190859079,36.0651276243,Mexican Restaurants
H5Y6o9H4rtxbHJFgLqI6Fw,-115.2426469,36.1987256,American Restaurants
XBikK0GMqJTF5d_bI3VSkA,-115.1468298,36.1720776,Breakfast & Brunch
86stmK3Vm2f5W6PdyvuLrQ,-115.2864495,36.1595644,American Restaurants
YRiQtFNteLUUEiGkdQ23vg,-115.188261,36.117207,American Restaurants
WDKTg468bkRPW0LqbAZfmg,-115.1768402,36.0687779,American Restaurants
FYqFfaxVRW6pdviONXIoDw,-115.1737473847,36.0695675256,American Restaurants
USMzHt3XL3nPXVVOfRw1-g,-115.2086926,36.0432366,American Restaurants
nW27OMU438BjZF64lj97sQ,-115.1984550092,36.1260081178,Coffee & Tea
fgA9aoU0gNK80hhXhiUpSQ,-115.291755,36.175749,American Restaurants
Cl-xl1vTUwHeaGgBxzdTRA,-115.3215540357,36.1602140251,Chinese Restaurants
M9zu5KTyVwVC-45Mn8Wp0g,-115.243878983,36.044394339,Chinese Restaurants
4hG2j_ibsNblDgqei05U_g,-115.173192,36.108713,Japanese Restaurants
EdY6q0CO2mlATpoTFkvHAw,-115.3143929477,36.1217538915,Chinese Restaurants
6ANVuBMmpkXpFd5Hzkn4_Q,-115.1659683726,36.1257833505,Chinese Restaurants
YkAcruXbhN6sHDXn0jcySw,-115.2796896,36.1232761,Breakfast & Brunch
ibFdignja_hNpgCjDYP7Ug,-115.2449475957,36.0708627333,Mexican Restaurants
stbX9rtRIpDF-VymOwHJ8w,-115.1768402,36.0687779,American Restaurants
X5uxdU9GHoUAqo2wmbg3OQ,-115.211199,36.125592,Chinese Restaurants
8pmGz3Lg4f_r7HdDZPa4dQ,-115.220404,36.0994967,American Restaurants
N0apJkxIem2E8irTBRKnHw,-115.169884,36.102543,American Restaurants
EUWBT5GDxPC95w9itZ1EHw,-115.1451098718,36.1740973156,American Restaurants
rx1AEnleVRWMNz6vB-YhfQ,-115.2453624,36.1611511,Chinese Restaurants
grlL6zmHBOer9rPycsRhBA,-115.1404417,36.1679746,Japanese Restaurants
-U7tvCtaraTQ9b0zBhpBMA,-115.1717783654,36.1020911813,American Restaurants
wZvSsHFU0NdyQ03625kh6g,-115.1956301532,36.1254115473,Chinese Restaurants
mGCOI83lIiDfc4cEOtmZlQ,-115.1699679,36.1022507,Chinese Restaurants
faPVqws-x-5k2CQKDNtHxw,-115.1701118428,36.1223280185,American Restaurants
uKlkVuZ5F8QoGbgVQKqH1A,-115.1529464722,36.1072044373,American Restaurants
VzekjBEdqFdJsXEOWInA1A,-115.1518372,36.1526625,American Restaurants
qmymSqVwHYRqdwfcBatzpQ,-115.3166287189,36.1594376869,American Restaurants
d_L-rfS1vT3JMzgCUGtiow,-115.1769728974,36.0900669068,Breakfast & Brunch
LtXy1VinKWfuLFslVarKRw,-115.1723651199,36.1053153086,Breakfast & Brunch
16Fplxu-OwVmTEFxQAUP4g,-115.176614273,36.0953556397,American Restaurants
2dCnTMv3Hh-fM8bOjYS4Xw,-115.2266305,36.1437858,American Restaurants
64h5mGa2cJqLgoEwRfpDUQ,-115.137115,36.0115413,Ice Cream & Frozen Yogurt
Ucsy6LjBYsfVwuGlSlfJog,-115.1677344,36.100506,Breakfast & Brunch
WTt8_zwy4IXaB2QnuiQP1Q,-115.1707806,36.1162077,American Restaurants
R_fQGSUQv0L_fRiuua47dw,-115.2970471,36.0811779,Coffee & Tea
w5LUtmw4G1KD7qAntqGd9w,-115.136559,36.10259,Japanese Restaurants
6-lmL3sC-axuh8y1SPSiqg,-115.2805933323,36.2010044709,Mexican Restaurants
RVUsquY9ozToz3Hhmohq4w,-115.242505,36.1161774008,Coffee & Tea
9UZbY3FxhpNZ8sVWcYON6A,-115.1186782122,36.098677067,American Restaurants
jnroKk9qi0FR2bFSkxYZNg,-115.2075436,36.1268272,Chinese Restaurants
vFfU79z5a5jQaQA_ka2ftA,-115.2863335,36.2777832,Breakfast & Brunch
rq5dgoksPHkJwJNQKlGQ7w,-115.2896297427,36.1641802266,Coffee & Tea
679eSYC15Sc17TN9Djj8sg,-115.1779472561,36.0692145975,American Restaurants
NcrasPRJ3xm0K7JPxLFBGA,-115.096463,36.173086,Breakfast & Brunch
sYfHxCqHpIX2HnDhw0JRAA,-115.208426028,36.0334054807,Japanese Restaurants
8SWZLawwzqwzbXpGQS7gBw,-115.1775243461,36.0929513501,Breakfast & Brunch
O1nxp1sVeB_uc7Ml8n9D-Q,-115.1694001257,36.1025983086,Coffee & Tea
3rj1qpgFvkRWtAka17mhEQ,-115.2871548012,36.2828691328,Breakfast & Brunch
gTw6PENNGl68ZPUpYWP50A,-115.2441707253,36.0468023773,Korean Restaurants
I5TnTKHzJuLA0YLZPGCNwQ,-115.2432872,36.1918003,Japanese Restaurants
V_KBvMXyBjvLH3rYcn-eXw,-115.2509056,36.1962809,Ice Cream & Frozen Yogurt
WcGKG8_rDVBVx6lSTlWiDA,-115.2621223213,36.1965901835,Mexican Restaurants
hPclwunHi36YV8cPghWJBg,-115.10336,36.130369,Thai Restaurants
Thx8WO-qqYJmEKssu4g9SA,-115.2421504,36.1268192,Japanese Restaurants
Rv1IiQaIIDunqzS8dSvHCw,-115.2427037877,36.2192233223,Thai Restaurants
vl2IZrNJEA8npSjqXbdwxw,-115.260244,36.204189,Coffee & Tea
T-wer_1iIXs692gYrTriDg,-115.2659777,36.1988542,Mexican Restaurants
C9ImzBi5fn742ZcAYDww2A,-115.2062178,35.9949501,Breakfast & Brunch
jtQARsP6P-LbkyjbO1qNGg,-115.234495,36.241809,American Restaurants
Q5sn7sP6v_lk3pxn0xVIlA,-115.1715204,36.0520271,American Restaurants
WETHRoXB2IbixndSlOktJA,-115.2698822021,36.2835006714,Breakfast & Brunch
hIUKufhwR6Ifn7bi0-phLA,-115.273241,36.066865,Coffee & Tea
k1q9f7aJ2TsoSbeA8Qm1aA,-115.195684,36.114539,Chinese Restaurants
JdoBiBRgeS_KKaNaU1sofA,-115.20625,36.117033,Chinese Restaurants
WYxOAOMIBcnqf8QHfqaAIg,-115.1373113733,36.1338910257,Breakfast & Brunch
E67gGK8yOn9kkNzx8FzQKA,-115.3142242,36.1122611,American Restaurants
nJcyfIRGbI31EGLzillWYg,-115.1633105054,36.137112229,Breakfast & Brunch
2m4092MsMzEHkuxodaj6-g,-115.201787,36.102841,Japanese Restaurants
RHi3Bn4HBGBp105LdVlZbQ,-115.1717702,36.1193098,Ice Cream & Frozen Yogurt
ppHkkuDvvH8g1Enz6F8OJA,-115.3158073274,36.2914570873,Breakfast & Brunch
WrHu03srbhJAw6bnTIixdw,-115.2435110355,36.0724550146,Japanese Restaurants
2mfBO8iZ5E_ULmcxEXqOrw,-115.1711298,36.128561,American Restaurants
0gWg-kqRLEQbhui8b_v2Xw,-115.2056359,36.0330131,Breakfast & Brunch
Zdg1CnOe2zVDf5Egzf9RXw,-115.1717738,36.1209486,Breakfast & Brunch
MohTx0z3LnzAnr0bIsstHQ,-115.192734,36.08684,Breakfast & Brunch
YkWT4n-pPDlPJKfkfXVL1w,-115.1823137,36.1407035,American Restaurants
MU1PQ5CWuV0OKKOeI7jx6Q,-115.1703655,36.0419198,American Restaurants
vAh6WNioOEw7G9tGhd_JQw,-115.2075811,36.1497812,Chinese Restaurants
_6UaHEnDDbUla3Pa3VVu3Q,-115.2414455164,36.0531819627,Ice Cream & Frozen Yogurt
8-8btzuYZCqEVOPwk0YYfA,-115.2108226,36.1441245,Korean Restaurants
XKo3y41cF6euqS7I6AX_1Q,-115.2413886,36.0553309,Japanese Restaurants
CVECSCW-7zDzjpIPxsew4g,-115.2246686447,36.1599719621,Mexican Restaurants
YCm7wypibp04buWh-jRRpg,-115.244422839,36.0440682055,Coffee & Tea
y7Js-07RF8d3N_AEtaw2VQ,-115.140782,36.1694,American Restaurants
x71EvWJDVKZfM-OiYDWZ6A,-115.1903749,35.9829201,Coffee & Tea
82g1PwX5FvclqqdjJHcVNA,-115.2799153,36.1234407,Mexican Restaurants
m_CqRpEZ2XDH3fp-KFAycQ,-115.2798899048,36.1435952655,Japanese Restaurants
UCpUOtvqR-NBWBNVMzJleA,-115.177535906,36.0683706291,American Restaurants
1SE9f6TEV5XhnTuuK01xwA,-115.1371387043,36.1179083858,American Restaurants
fcUZ0HlaO1bMW26tzQZVOQ,-115.1914411212,36.0393028596,Coffee & Tea
UFcCwCkp9K5D8c03Pwi7sA,-115.1354155,36.0302336,Japanese Restaurants
ijg7qQCYnhUWBd5JUxbfvA,-115.1566778,36.1473845,Breakfast & Brunch
JPWg9acsCv_om9UFYGMJbA,-115.2857479,36.1585332,Breakfast & Brunch
6z3cgIE9dJ01wUm43f0yBQ,-115.1925293,36.1260978,Chinese Restaurants
nHS_b67Z6olRSit8oBOmQw,-115.242188,36.054208,Coffee & Tea
e-X1HcALttCuuHtl0wU_gg,-115.2099095285,36.1001052614,Mexican Restaurants
RhV7sraRUB3km-gF-tmDow,-115.292372,36.158356,Mexican Restaurants
J5ylw6DXGmQ6hM06Ne3XHw,-115.1976095,36.1439891,American Restaurants
LV-oONzEA22qiBEFK1sckA,-115.1732075214,36.106788606,American Restaurants
glTBzDHv9wNhEsZa4bQrOA,-115.173216,36.0948217,American Restaurants
SktLID5_ywSlgVE-h3NB3Q,-115.2799153,36.0529679,Chinese Restaurants
SzB85-8tmDEvoapZSDTBkQ,-115.2085074,36.0928631,Mexican Restaurants
l7BLw7-bKVD7fImtls4Lfw,-115.1180897,36.1438785,Mexican Restaurants
-mN7z9oY01Mh_-dwTyzpqg,-115.300165,36.115656,Breakfast & Brunch
iiIXOU0L-KUCjuNES2e6Cw,-115.2989917,36.1449033,Mexican Restaurants
gtB-1QxTscdPj78UE5sWuQ,-115.2943617745,36.1152215167,American Restaurants
vl1aHp6pvnSmpoRQShWLjg,-115.3341114173,36.1568053738,American Restaurants
R1PQEK6qvrZVC9qcWfKvDA,-115.1359481,36.1050259,Mexican Restaurants
WQyGqfFKd-baBTVfZWzeTw,-115.1190162,36.0253639,Ice Cream & Frozen Yogurt
f0160VdQERs6Y6Aq-Chvfw,-115.1677979041,36.1237193244,Breakfast & Brunch
l9oTh1HKQt_o4SN63cNNMw,-115.174995,36.115341,Coffee & Tea
LOWn1xi9PfG2kxrUuC21nA,-115.2078847,36.2768676,Breakfast & Brunch
gwwVVeWXlEfwATjp2cGzuA,-115.297747,36.0946251,American Restaurants
8CNNs7jFv0yVptAvnga4xQ,-115.1683574596,36.1275866082,Ice Cream & Frozen Yogurt
PwpSY0vO3XlQXKOuqiqZMQ,-115.1696112,36.1214517,American Restaurants
bzyoY6HHZJS39fspg-6DrA,-115.171454,36.0544365,American Restaurants
2LZGeJy8qByYKB71ML-jcw,-115.1638135787,36.136946734,American Restaurants
xP2zIIqXxW8QNiJqJyE92A,-115.223421,36.2394353,Chinese Restaurants
huOCKRwDvNqGX3KSzYawbw,-115.176792,36.112133,Coffee & Tea
LRpFWbovjUShlvCKQOS-Ng,-115.1987087,36.1270507,Japanese Restaurants
x1bRIbodhd1AmYa0UAJwZw,-115.2439105736,36.0422914493,Coffee & Tea
ctDi8gEBYcGOGTnlWeiKKA,-115.2074885,36.1292858,Coffee & Tea
rTS8LsUmNIiXsXydE49tPA,-115.172409,36.117162,American Restaurants
6UI3dCIY6eM1eBOsnEVBuw,-115.156034,36.1423694,Coffee & Tea
AVA3AwMEHfLY9anV3WgDXA,-115.2427749613,36.0556182188,Mexican Restaurants
06MlxbtB4ZYeg_ri02RIAQ,-115.2075811,36.1450105,Mexican Restaurants
dblGQtHAzNy1ACis1m2shw,-115.298013,36.125653,Chinese Restaurants
4fGGeKlUY3SwqLW4SH_QnQ,-115.3142242,36.1122611,Coffee & Tea
NnoJ7MBgV_F-bv7FA_X_BA,-115.1156174,36.1718771,Mexican Restaurants
FMo1PJTUV5OpyiZlnTM1Rg,-115.290714,36.157851,Mexican Restaurants
7GGJlp1aWfcXGQz6q7SkXQ,-115.170273,36.122736,Mexican Restaurants
YuiM5VKscO8rS1EX7f19_g,-115.1768811152,36.0912534112,American Restaurants
Akl6WDSUwYQ3zanxczLNSg,-115.175779,36.095927,Chinese Restaurants
bUEc1ZDgfZPymHyUXEiiNg,-115.1732142,36.1617046,Mexican Restaurants
6Ve_2kEz18dvhp4q3M5I2Q,-115.242248,36.2033098,Mexican Restaurants
9uRrzqQaq9XwW9lLj7oBxw,-115.05793,36.24088,Breakfast & Brunch
HgdFqAvK31fB9sgBdOzo9g,-115.1170689,36.0164931,Breakfast & Brunch
Q7m8G4579-XYKV3LMW8V7g,-115.151261,36.108898,Japanese Restaurants
